WDPAID,NAME,scientific_name,source
319940,Biosph√§renreservat Spreewald,Microtus_agrestis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Microtus_arvalis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Microtus_oeconomus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mus_musculus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mustela_erminea,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mustela_nivalis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mustela_putorius,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Myodes_glareolus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Neomys_fodiens,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Neovison_vison,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Nyctereutes_procyonoides,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Ondatra_zibethicus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Oryctolagus_cuniculus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Procyon_lotor,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Rattus_rattus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Sciurus_vulgaris,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Sorex_araneus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Sorex_minutus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Sus_scrofa,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Talpa_europaea,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Vulpes_vulpes,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Arvicola_scherman,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Canis_rufus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Meles_leucurus,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mustela_russelliana,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mustela_tonkinensis,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
319940,Biosph√§renreservat Spreewald,Mustela_subpalmata,http://www.ice.ucdavis.edu/bioinventory/bioinventory.html
342346,Laguna Madre y Delta del Río Bravo,Odocoileus_virginianus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Pecari_tajacu,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Canis_latrans,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Urocyon_cinereoargenteus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Herpailurus_yagouaroundi,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Leopardus_pardalis,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Leopardus_wiedii,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Lynx_rufus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Panthera_onca,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Puma_concolor,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Conepatus_leuconotus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Lontra_longicaudis,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Mephitis_mephitis,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Mustela_frenata,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Nasua_narica,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Procyon_lotor,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Didelphis_marsupialis,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Didelphis_virginiana,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Lepus_californicus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Sylvilagus_floridanus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Tamandua_mexicana,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Castor_canadensis,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Cratogeomys_castanops,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Geomys_personatus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Geomys_tropicalis,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Dipodomys_compactus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Dipodomys_ordii,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Heteromys_irroratus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Perognathus_merriami,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Peromyscus_mexicanus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Baiomys_taylori,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Neotoma_micropus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Onychomys_leucogaster,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Oryzomys_palustris,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Peromyscus_leucopus,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
342346,Laguna Madre y Delta del Río Bravo,Reithrodontomys_fulvescens,Programa de Manejo Área de Protección de Flora y Fauna Laguna Madre y Delta del Río Bravo
